votes,name,seen,star,date,text
6,Jacob,看过,力荐,2019-11-10 06:25:58,毋庸置疑的年度最佳。无比精准、细腻而震撼的音响效果几乎可以作为杜比全景声的宣传素材，即便是在普通2D影厅也能够深刻地体会到音效剪辑与画面剪辑相得益彰带来的惊艳效果。主线具有真实的时间流程，这一依靠时不时叠加到镜头中的时空坐标系来实现的壮举完美地将观众带入到情境中，辅之以大量近乎实验性质的特写镜头（非常考验摄影师和演员，以及观众）创造出了无比独特、精彩的观影体验。摄影方面美到让人“窒息”，足以比肩《少年派的奇幻漂流》。剧情很简单——一次艰难的热气球飞行探索，然而两位主角的精彩表演使这趟旅途无比惊心动魄，《万物理论》带给小雀斑一座奥斯卡，希望这部影片也能带给Felicity一座最佳女主。然而，除去以上的成就，使这部电影特别的真正原因是它颂扬的纯粹以及献身精神，其于我，是启示录一般的存在。
1,平成宅叔,看过,还行,2020-11-14 10:43:20,遨游天际间，生命一线悬；蝴蝶自在舞，落雪缤纷飘；手可摘星辰，恐惊天上人。 对未知的探索，对知识的渴求，对科学的敬畏，或许可以一窥究竟为什么第一次工业革命发生在英国。
0,JoeyLu陆柏宇,看过,还行,2020-11-15 10:42:46,片尾曲好听炸了
2,人土土,看过,推荐,2019-12-28 19:19:23,探索这个世界的美丽，值得付出生命。电影值得去大荧幕感受高空的宁静和菲总的勇气。演技被困在热气球里无处发挥。
1,弓谷所長,看过,还行,2020-01-03 19:58:07,挺无聊的，而且所谓会让恐高症的人心脏受不了，我表示并没有。
2,四季奶青加波霸,看过,还行,2020-11-15 12:14:15,中间穿插的回忆部分真的很无聊，这是我记忆中第一次在电影院里犯困
0,SELVEN,看过,还行,2020-01-13 22:16:41,68/100 琼斯和雀斑都有自己的商业大作，但他们绝不是商业类型片最好的人选。我的意思是，尽管《热气球飞行家》具有文艺片的气质，但它确实更适合做成商业片，以及选一对更偶像的演员。
0,诸葛福媛,看过,推荐,2020-02-24 04:10:00,前90%，我：男主就是个拖油瓶，啊啊啊气死我了，女主真是聪明勇敢。最后10%，我：啊男主好聪明，太机智了，有学问就是不一样！科学万岁！PS：小雀斑真的总在演这种执着的理工农医nerd啊……
0,独行侠杀手阿何,看过,推荐,2020-11-13 23:46:31,惊险！刺激！在飞机未被发明之前，他们到达了人类从未达到过的高度。坐标轴轨迹般的气球运动，看得手心冒汗湿透。女飞行员Amelia的果敢，坚韧，令人高度敬佩。静音空镜头风头旖旎，让人片刻心宁神静。小雀斑和菲总真是一对好CP！热气球秒变降落伞真是惊呆我了！不可思议！
1,普京541,看过,推荐,2020-03-08 19:51:47,人类（科学）的探索，来自于对未知的好奇和无畏的闯荡，换成今天的话说，就是作死，所以请不要去嘲笑那些用生命在作死的人，因为不作死他们就会死，不作死，我们也没有今天的进步。
0,阿历克斯,看过,还行,2020-11-15 18:29:29,原来菲丽希缇才是第一主角啊，强大的女性，大气层版地心引力。可惜是普通厅，再大一点的银幕就好了。
1,笑看浮华,看过,还行,2020-11-15 11:28:03,科学双人组太强了 飞到太空需要很大的勇气 这部电影还不错 ，不过感觉又好像没有那么的好看 所以是三星 ，那一个菊花在那个前段中间还有后面都剪了三次 
